,treatment,dataset pvalues,fisher-uw-statistic,fisher-uw-pvalue,fisher-w-statistic,fisher-w-pvalue,stouffer-uw-statistic,stouffer-uw-pvalue,stouffer-w-statistic,stouffer-w-pvalue,fe-generalized-statistic,fe-generalized-pvalue,fe-normed-generalized-statistic,fe-normed-generalized-pvalue
0,"('received-analgesic?', 'received-analgesic?')","(0.0603, 0.0)",42.4582,1e-08,1992.3282,0.0,5.3806,4e-08,5.962,0.0,64.55009213572355,9.61890398245189e-15,82.53833741199917,1.1940644215277075e-18
1,"('received-opioid?', 'received-opioid?')","(0.5228, 0.0)",38.1385,1e-07,1882.7056,0.0,4.5041,3.33e-06,5.4028,3e-08,20.694492486424274,3.208101155461058e-05,25.396569062587233,3.056364160495075e-06
2,"('received-non-opioid?', 'received-non-opioid?')","(0.0443, 0.0)",43.0749,1e-08,2007.9781,0.0,5.4744,2e-08,6.0218,0.0,64.10645359681833,1.2007717841376777e-14,83.67309537046916,6.770460339959453e-19
3,"('received-opioids-only?', 'received-opioids-only?')","(0.3984, 0.5431)",3.0615,0.5475833,108.0112,0.0,1.0272,0.15217415,0.9237,0.17782696,0.187765620104395,0.9103894444810805,1.5589626627486082,0.45864383379131757
4,"('received-non-opioids-only?', 'received-non-opioids-only?')","(0.1828, 0.0763)",8.5449,0.07353816,344.6366,0.0,2.1954,0.01406775,2.1829,0.01452115,5.024197369462444,0.08109786167499693,13.568832160085796,0.001131268080808308
5,"('received-combined-therapy?', 'received-combined-therapy?')","(0.4168, 0.0)",38.5917,8e-08,1894.2062,0.0,4.6264,1.86e-06,5.4808,2e-08,20.73280653544709,3.147228414919393e-05,26.405721603947388,1.8453145596410402e-06
6,"('received-ace-inhibitor?', 'received-ace-inhibitor?')","(0.4034, 0.0013)",15.1064,0.00448548,713.4004,0.0,2.8649,0.00208587,3.2471,0.00058291,9.477389293705686,0.008750060653108212,27.993630741179956,8.341810510231882e-07
7,"('received-aspirin?', 'received-aspirin?')","(0.3359, 0.0)",39.0232,7e-08,1905.1586,0.0,4.7327,1.11e-06,5.5486,1e-08,38.486661268268506,4.392661039614361e-09,33.01685279268763,6.768329780896002e-08
8,"('received-beta-blocker?', 'received-beta-blocker?')","(0.5225, 0.0)",38.1396,1e-07,1882.7347,0.0,4.5044,3.33e-06,5.403,3e-08,45.71311164799711,1.184469631379006e-10,28.79330373653869,5.592597133099453e-07
9,"('received-anti-platelet?', 'received-anti-platelet?')","(0.6507, 0.0)",37.7008,1.3e-07,1871.598,0.0,4.3724,6.14e-06,5.3188,5e-08,3.628968986252568,0.16292187409186235,1.6971870580175832,0.42801650159768523
10,"('received-statin?', 'received-statin?')","(0.7246, 0.0)",37.4856,1.4e-07,1866.1383,0.0,4.3014,8.49e-06,5.2735,7e-08,17.711116194342345,0.00014258701726215024,2.129568394833942,0.34480225595641667
